course,institution,cluster_number,cutoff_points,year
BACHELOR OF SCIENCE (COMPUTER SCIENCE,MURANG'A UNIVERSITY OF TECHNOLOGY,15,35.024,2023
BACHELOR OF SCIENCE (COMPUTER SCIENCE,MURANG'A UNIVERSITY OF TECHNOLOGY,15,35.478,2024
BACHELOR OF SCIENCE (CIVIL ENGINEERING),TAITA TAVETA UNIVERSITY,16,28.212,2023
BACHELOR OF SCIENCE (CIVIL ENGINEERING),TAITA TAVETA UNIVERSITY,16,34.293,2024
BACHELOR OF SCIENCE IN CIVIL ENGINEERING,UNIVERSITY OF EMBU,16,36.545,2024
BACHELOR OF SCIENCE IN CIVIL ENGINEERING,TECHNICAL UNIVERSITY OF MOMBASA,16,38.632,2018
BACHELOR OF SCIENCE IN CIVIL ENGINEERING,TECHNICAL UNIVERSITY OF MOMBASA,16,40.076,2019
BACHELOR OF SCIENCE IN CIVIL ENGINEERING,TECHNICAL UNIVERSITY OF MOMBASA,16,39.44,2020
BACHELOR OF SCIENCE IN CIVIL ENGINEERING,TECHNICAL UNIVERSITY OF MOMBASA,16,36.844,2021
BACHELOR OF SCIENCE IN CIVIL ENGINEERING,TECHNICAL UNIVERSITY OF MOMBASA,16,38.702,2022
BACHELOR OF SCIENCE IN CIVIL ENGINEERING,TECHNICAL UNIVERSITY OF MOMBASA,16,38.391,2023
BACHELOR OF ENGINEERING (CIVIL ENGINEERING),TECHNICAL UNIVERSITY OF KENYA,16,42.004,2018
BACHELOR OF ENGINEERING (CIVIL ENGINEERING),TECHNICAL UNIVERSITY OF KENYA,16,42.523,2019
BACHELOR OF ENGINEERING (CIVIL ENGINEERING),TECHNICAL UNIVERSITY OF KENYA,16,41.613,2020
